Clave,Carretera,Tramo,Ruta,Logitud,Clasificación
10,Acalpican – Manzanillo ,Acalpican – Manzanillo ,200,325.5,NA
10,Acalpican – Manzanillo ,Acalpican – Tecoman,200,260,B2
10,Acalpican – Manzanillo ,Tecoman – Ent. Tecoman,200,4.5,A4
10,Acalpican – Manzanillo ,Ent. Tecoman – Armería,200,9.5,ET4
10,Acalpican – Manzanillo ,Armería – Manzanillo,200,51.5,C
20,Acámbaro-Celaya,Acámbaro-Celaya,51,66,NA
20,Acámbaro-Celaya,Acámbaro-Salvatierra,51,33,D
20,Acámbaro-Celaya,Salvatierra-Celaya,51,33,A4
30,Acambaro – San José,Acambaro – San José,120,64.4,D
40,Acapulco-Zihuatanejo,Acapulco-Zihuatanejo,200,243.8,NA
40,Acapulco-Zihuatanejo,Acapulco-Zihuatanejo,200,239.8,C
40-L,Libramiento De Técpan (Directo),Libramiento De Técpan (Directo),200D,4,ET2
45,Acatlán De Juárez-Barra De Navidad (Santa Cruz-Melaque),Acatlán De Juárez-Barra De Navidad (Santa Cruz-Melaque),80,248.48,NA
45,Acatlán De Juárez-Barra De Navidad (Santa Cruz-Melaque),Acatlán-Cocula,80,34.9,B4
45,Acatlán De Juárez-Barra De Navidad (Santa Cruz-Melaque),Cocula-Barra De Navidad,80,213.58,C
50,Acatlán De Juárez-Colima (Directo Hasta El Trapiche),Acatlán De Juárez-Colima (Directo Hasta El Trapiche),54D,148,ET4
60,Aguascalientes-Jalpa ,Aguascalientes-Jalpa ,70,91.1,NA
60,Aguascalientes-Jalpa ,Aguascalientes-Calvillo,70,51,B
60,Aguascalientes-Jalpa ,Calvillo-Jalpa,70,40.1,D
70,Aguascalientes-Zacatecas,Aguascalientes-Zacatecas,45,137.98,NA
70,Aguascalientes-Zacatecas,Aguascalientes-Ent. Luis Moya,45,60,ET4
70,Aguascalientes-Zacatecas,Ent. Luis Moya-Ent. Arcinas,45,41.2,C
70,Aguascalientes-Zacatecas,Ent. Arcinas-Ent. Osiris,45,12.6,A4
70,Aguascalientes-Zacatecas,Ent. Osiris-Zacatecas,45,6.68,ET4
70-L,Libramiento Guadalupe,Libramiento Guadalupe,45,17.5,A4
80,Aguascalientes (Ent. Luis Moya)-Zacatecas (Ent. Osiris) (Directo),Aguascalientes (Ent. Luis Moya)-Zacatecas (Ent. Osiris) (Directo),45D,58.11,ET2
85,Álamo-Huejutla De Reyes,Álamo-Huejutla De Reyes,127,94.7,NA
85,Álamo-Huejutla De Reyes,San Fernando-Atlapexco,127,84,D
85-R,Ramal A Chicontepec De Tejeda,Ramal A Chicontepec De Tejeda,127,10.7,D
90,Alazan – Canoas,Alazan – Canoas,127,173.2,C
100,Alpuyeca – Grutas,Alpuyeca – Grutas,166,49.3,D
110,Altamira – Puerto Industrial,Altamira – Puerto Industrial,N/D,8,A4
111, Altar-Sonoyta, Altar-Sonoyta,2,181,NA
111, Altar-Sonoyta, Altar-Caborca,2,28,ET4
111, Altar-Sonoyta,Caborca-Sonoyta,2,153,ET2
115,Altavista-Saucillo,Altavista-Saucillo,45,45.7,D
116,Amozoc-Perote-Libramiento Perote (Directo),Amozoc-Perote-Libramiento Perote (Directo),140D,122.5,NA
116,Amozoc-Perote-Libramiento Perote (Directo),Amozoc-Perote,140D,105,ET2
116-L,Libramiento Perote,Libramiento Perote,PE-10D,17.5,ET2
120,Amozoc – Teziutlan,Amozoc – Teziutlan,129,157.8,D
130,Apizaco-Tejocotal,Apizaco-Tejocotal,119,112.1,NA
130,Apizaco-Tejocotal,Apizaco-Ent. Atotonilco,119,21,C
130,Apizaco-Tejocotal,Ent. Atotonilco-Tejocotal,119,91.1,D
140,Armería-Manzanillo (Directo),Armería-Manzanillo (Directo),200D,61.8,NA
140,Armería-Manzanillo (Directo),Armería-Manzanillo (Directo),200D,42,ET4
140-L,Libramiento Manzanillo (Directo),Libramiento Manzanillo (Directo),200D,19.8,ET2
150,Atlacomulco - Maravatío (Directo),Atlacomulco - Maravatío (Directo),15 D,64.5,ET2
160,Atlacomulco-Morelia,Atlacomulco-Morelia,126,156,NA
160,Atlacomulco-Morelia,Se Deroga,NA,NA,NA
160,Atlacomulco-Morelia,Maravatío-Morelia,126,77,C
170,Atzalan – Tlapacoyan,Atzalan – Tlapacoyan,N/D,32,B2
180,Bermejillo – El Palmito,Bermejillo – El Palmito,30,160,D
190,Brisñas – Sahuayo,Brisñas – Sahuayo,110,30,C
200,Buenavista – Tuxtepec,Buenavista – Tuxtepec,175,121.4,D
210,Cabo San Lucas-La Paz,Cabo San Lucas-La Paz,1,241.5,NA
210,Cabo San Lucas-La Paz,Cabos San Lucas- Ent. Lib. San José Del Cabo (Glorieta Fonatur),1,28.5,ET4
210,Cabo San Lucas-La Paz,Ent. Lib. San José Del Cabo (Glorieta Fonatur)-Ent. Aeropuerto Los Cabos Km. 43  (Paso Por San José Del Cabo),1,12.8,C
210-L,Ent. Aeropuerto Los Cabos-Ent. San Pedro,Ent. Aeropuerto Los Cabos-Ent. San Pedro,1,154,C
210-L,Ent. Aeropuerto Los Cabos-Ent. San Pedro,Ent. San Pedro-La Paz,1,26,ET2
210-L,Ent. Aeropuerto Los Cabos-Ent. San Pedro,Lib. San José Del Cabo,1,20.2,ET2
220,Cadereyta-Allende,Cadereyta-Allende,9,36.2,A2
230,Campeche – Chencolli,Campeche – Chencolli,180,30,D
240,Campeche-Mérida,Campeche-Mérida,180,162.5,ET4
250,Cansahcab – Dzilam De Bravo,Cansahcab – Dzilam De Bravo,178,38,D
260,Carapan-Playa Azul,Carapan-Playa Azul,37,340.7,NA
