"","id","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta"
"1",6281256,"ABASTECEDORA DE MAQUINARIA Y SERVICIO SA DE CV","ABASTECEDORA DE MAQUINARIA Y SERVICIO SA DE CV",435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca","0 a 5 personas","CALLE","GENERAL MIGUEL BARRAGÁN","CALLE","NORBERTO GÓMEZ HORNEDO","PRIVADA","CORONEL FELIX DE LA PAZ","CALLE","DOCTOR ISIDRO CALERA",1111,NA,NA,NA,NA,NA,"COLONIA","GREMIAL",NA,NA,NA,20030,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0375","017",NA,NA,NA,"Fijo",21.89483823,-102.2908059,"JULIO 2010"
"2",19754,"AG CROP, S.A. DE C.V.","AG CROP, S.A. DE C.V.",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","CALLE","AGUA DURA","AVENIDA","ALEJANDRO DE LA CRUZ SAUCEDO","CALLE","AGUA POTABLE","CALLE","AGUA LLUVIA",107,NA,NA,NA,NA,NA,"FRACCIONAMIENTO","AGUA CLARA",NA,NA,NA,20924,"01","AGUASCALIENTES","005","Jesús María","0001","Jesús María","0177","013","4499636402","AGCROP01@PRODIGY.NET.MX",NA,"Fijo",21.95865539,-102.33759394,"MARZO 2011"
"3",6230791,"AGRICENTER EXPRESS","AGRICENTER SA DE CV",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","BOULEVARD","A ZACATECAS","BOULEVARD","INDUSTRIA","CALLE","ÉBANO","CALLE","TROQUEL",17,"A",NA,NA,NA,NA,"HACIENDA","LAS HADAS",NA,NA,NA,20140,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0638","014",NA,NA,NA,"Fijo",21.88330988,-102.29622985,"DICIEMBRE 2014"
"4",6252585,"AGRICENTER SA DE CV","AGRICENTER SA DE CV",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","11 a 30 personas","BOULEVARD","A ZACATECAS","CALLE","ARROYO EL MOLINO","AVENIDA","NIÑOS HÉROES","CALLE","NINGUNO",0,"KILÓMETRO 2",NA,NA,0,NA,"COLONIA","CORREDOR INDUSTRIAL",NA,NA,NA,20400,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","1316","039","4658514440","J.HERNANDEZM@AGRICENTER.COM.MX","WWW.AGRICENTER.COM.MX","Fijo",21.93734617,-102.291209,"JULIO 2013"
"5",6282294,"AGRICOLA GUAYABEROS SA DE CV","AGRICOLA GUAYABEROS SA DE CV",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","6 a 10 personas","AVENIDA","UNIVERSIDAD",NA,"NINGUNO",NA,"NINGUNO",NA,"NINGUNO",1203,NA,NA,NA,NA,NA,"COLONIA","SANTA CRUZ",NA,NA,NA,20400,"01","AGUASCALIENTES","007","Rincón de Romos","0282","Ninguno [Productores de Ajo de Rincón de Romos ARIC]","0044","800",NA,NA,NA,"Fijo",22.22293364,-102.30393044,"JULIO 2010"
"6",5924,"AGRICOMERCIALIZADORA DE EQUIPOS PARA EL CAMPO",NA,435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca","0 a 5 personas","AVENIDA","HÉROE DE NACOZARI SUR","AVENIDA","CONVENCIÓN DE 1914 SUR","CALLE","LA SALUD","CALLE","DELICIAS",1406,"D",NA,NA,NA,NA,"COLONIA","LA SALUD",NA,NA,NA,20240,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0905","005","4492000560","NANCY.PLASCENCIA@AGRICOMER.COM",NA,"Fijo",21.86724501,-102.28173658,"JULIO 2010"
"7",6782232,"AGRI-ESTRELLA S DE RL DE CV","AGRI-ESTRELLA S DE RL DE CV",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas","CALLE","VIÑEDOS DE SANTO TOMÁS","CALLE","INDEPENDENCIA","CARRETERA","CARRETERA FEDERAL LIBRE 45 AGUASCALIENTES-ZACATECAS","CALLE","VINEDOS SAN MARCOS",2012,NA,NA,NA,NA,NA,"COLONIA","CENTRO DE ABASTOS VIÑEDOS DE SAN MARCOS","CENTRAL DE ABASTOS","VIÑEDOS SAN MARCOS","2012-2014",20925,"01","AGUASCALIENTES","005","Jesús María","0458","San Marcos (Central de Abastos) [Viñedos]","0035","018",NA,NA,NA,"Fijo",21.97445075,-102.2904763,"MARZO 2017"
"8",6281826,"AGRISTAR MEXICO","AGRIESTRELLA S DE RL DE CV",434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra","0 a 5 personas",NA,"NINGUNO","CALLE","DEL ABASTO",NA,"NINGUNO","CALLE","DEL ABASTO",NA,"SN",NA,NA,NA,NA,"COLONIA","CENTRO DE ABASTOS","CENTRAL DE ABASTOS","CENTRAL DE ABASTOS VIÑEDOS SAN MARCOS","B7 Y B8",20925,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","1462","018",NA,NA,NA,"Fijo",21.83231866,-102.2892865,"DICIEMBRE 2014"
"9",6107,"AGRO INDUSTRIAL HIDRAULICA, S.A. DE C.V.","AGRO INDUSTRIAL HIDRAULICA SA DE CV",435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca","0 a 5 personas","CALLE","TAMAULIPAS","CALLE","TABASCO","AVENIDA","AGUASCALIENTES SUR","CALLE","SINALOA",221,NA,NA,NA,NA,NA,"FRACCIONAMIENTO","MÉXICO",NA,NA,NA,20270,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0962","014","4499172158","AGROINDU@PRODIGY.NET.MX","WWW.AGROINDUSTRIALHIDRAULICA.COM","Fijo",21.85891855,-102.28113031,"JULIO 2010"
"10",6417760,"AGROACCESORIOS HIDRAULICOS SA DE CV","AGROACCESORIOS HIDRAULICOS SA DE CV",435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca","0 a 5 personas","CARRETERA","CARRETERA FEDERAL LIBRE AGUASCALIENTES ZACATECAS","CARRETERA","VIÑEDOS VIDES","CALLE","VIÑEDOS SAN MARCOS",NA,"NINGUNO",104,NA,NA,NA,NA,NA,"COLONIA","CENTRO DE ABASTOS VIÑEDOS SAN MARCOS","CENTRAL DE ABASTOS","VIÑEDOS SAN MARCOS","LOCAL 6-37",20900,"01","AGUASCALIENTES","005","Jesús María","0458","San Marcos (Central de Abastos) [Viñedos]","0035","023",NA,NA,NA,"Fijo",21.97016174,-102.28996155,"DICIEMBRE 2014"
