"","id","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta","tipo_comercio"
"1",224791,"BODEGA SIN NOMBRE",NA,115113,"Beneficio de productos agrícolas","0 a 5 personas","CALLE","FELIPE BERRIOZÁBAL","PERIFÉRICO","LUIS ECHEVERRÍA","PRIVADA","NINGUNO","PERIFÉRICO","LUIS ECHEVERRÍA",440,NA,NA,NA,NA,NA,"COLONIA","PATRIA NUEVA",NA,NA,NA,"25195","05","COAHUILA DE ZARAGOZA","030","Saltillo","0001","Saltillo","4359","017","8444180869",NA,NA,"Fijo",25.40467244,-101.03210209,"JULIO 2010","Bodega"
"2",6490515,"BODEGA SIN NOMBRE",NA,115113,"Beneficio de productos agrícolas","0 a 5 personas","BOULEVARD","CONVENCIONES","CALLE","IMPERIO MUSULMÁN","CALLE","IMPERIO GUDISTA","CALLE","IMPERIO MONGOL",832,NA,NA,NA,NA,NA,"COLONIA","PUERTA DE ORIENTE",NA,NA,NA,"25016","05","COAHUILA DE ZARAGOZA","030","Saltillo","0001","Saltillo","4965","016",NA,NA,NA,"Fijo",25.42927171,-100.90907804,"ENERO 2016","Bodega"
"3",327177,"BODEGA DE EMPAQUE DE FRUTAS GUDIÑO",NA,115113,"Beneficio de productos agrícolas","6 a 10 personas","AVENIDA","LICENCIADO ANTONIO ÁLVAREZ DEL CASTILLO",NA,"NINGUNO","AVENIDA","PROFESOR JUAN OSEGUERA VELÁZQUEZ (AMELA SUR)","CALLE","CINCO",0,"SN",NA,NA,NA,NA,"COLONIA","PONCIANO ARRIAGA",NA,NA,NA,"28160","06","COLIMA","009","Tecomán","0001","Tecomán","022A","003",NA,NA,NA,"Fijo",18.9074014,-103.86584362,"JULIO 2010","Bodega"
"4",337188,"CORTE Y VENTA DE TAMARINDO SIN NOMBRE",NA,115113,"Beneficio de productos agrícolas","11 a 30 personas","CALLE","LUIS SPOTA SAAVEDRA",NA,"NINGUNO","CALLE","NINGUNO",NA,"NINGUNO",0,"SN",NA,NA,NA,NA,"COLONIA","LAZARO CARDENAS",NA,NA,NA,"28450","06","COLIMA","003","Comala","0001","Comala","0122","001","3123116929",NA,NA,"Fijo",19.32411148,-103.7465928,"DICIEMBRE 2014","Comercializadora"
"5",447202,"BODEGA DE BANANO DE PONCHO",NA,115113,"Beneficio de productos agrícolas","0 a 5 personas","CALLE","CORREGIDORA","AVENIDA","DONACIANO LÓPEZ M.","AVENIDA","MAGISTERIAL","CALLE","CORREGIDORA",0,"SN",NA,NA,NA,NA,"BARRIO","FOVISSTE",NA,NA,NA,"30670","07","CHIAPAS","037","Huehuetán","0059","Huehuetán Estación FFCC","0125","029",NA,NA,NA,"Fijo",15.00312742,-92.40309649,"DICIEMBRE 2014","Bodega"
"6",6292361,"FRIGORÍFICO CORTES",NA,115113,"Beneficio de productos agrícolas","0 a 5 personas","CALZADA","BELISARIO CHÁVEZ","CALZADA","REPÚBLICA DE GUATEMALA","CALLE","CERRO PRIETO","CALLE","RÍO COYACHIC",NA,"SN",NA,NA,NA,NA,"COLONIA","DUBLAN",NA,NA,NA,"31500","08","CHIHUAHUA","017","Cuauhtémoc","0001","Cuauhtémoc","0678","003",NA,NA,NA,"Fijo",28.41678759,-106.87101377,"DICIEMBRE 2014","Refrigeracion"
"7",6253639,"FRIGORÍFICO DOBLE D",NA,115113,"Beneficio de productos agrícolas","0 a 5 personas","CALLE","NINGUNO",NA,NA,NA,NA,NA,NA,0,"SN",NA,NA,0,NA,NA,"LA JUNTA, GUERRERO, CHIH.",NA,NA,NA,"31687","08","CHIHUAHUA","031","Guerrero","0003","La Junta","1302","011","6351996687",NA,NA,"Fijo",28.48499406,-107.3161611,"DICIEMBRE 2014","Refrigeracion"
"8",6253640,"FRIGORÍFICO ERIVES- ACOSTA CARAVEO",NA,115113,"Beneficio de productos agrícolas","11 a 30 personas",NA,"NINGUNO",NA,"NINGUNO",NA,"NINGUNO",NA,"NINGUNO",NA,"SN",NA,NA,NA,NA,"COLONIA","CENTRO",NA,NA,NA,"31690","08","CHIHUAHUA","031","Guerrero","0003","La Junta","1567","001",NA,NA,NA,"Fijo",28.48528428,-107.31527927,"DICIEMBRE 2014","Refrigeracion"
"9",6253637,"FRIGORÍFICO RIVSO",NA,115113,"Beneficio de productos agrícolas","11 a 30 personas","CALLE","20 DE NOVIEMBRE","CALLE","3A","CALLE","16 DE SEPTIEMBRE","CALLE","JUÁREZ",NA,"SN",NA,NA,NA,NA,"COLONIA","EL MOLINO",NA,NA,NA,"31960","08","CHIHUAHUA","048","Namiquipa","0043","El Molino","073A","008",NA,NA,NA,"Fijo",29.19350296,-107.40797085,"DICIEMBRE 2014","Refrigeracion"
"10",715860,"ALMACÉN Y LAVADO DE JICAMA",NA,115113,"Beneficio de productos agrícolas","0 a 5 personas","CALLE","NINGUNO","EJE VIAL","EJE 6 SUR TRABAJADORES SOCIALES","EJE VIAL","EJE 5 SUR LEYES DE REFORMA","CIRCUITO","FRUTAS Y LEGUMBRES",91,"I",NA,NA,NA,NA,"COLONIA","GUADALUPE DEL MORAL","CENTRAL DE ABASTO","CENTRAL DE ABASTOS DE LA CIUDAD DE MÉXICO","91","9040","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","2475","005","5556407373",NA,NA,"Fijo",19.3736838,-99.09475649,"DICIEMBRE 2014","Bodega"
