"","id","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta","tipo_comercio"
"1",963,"FRUTAS ORGÁNICAS DE MÉXICO, S.A. DE C.V.","FRUTAS ORGÁNICAS DE MÉXICO, S.A. DE C.V.",115113,"Beneficio de productos agrícolas","31 a 50 personas","BOULEVARD","RODOLFO LANDEROS GALLEGOS","PRIVADA","NINGUNO","PRIVADA","NINGUNO","CAMINO","NINGUNO",0,"SN",NA,NA,NA,NA,"COLONIA","RINCÓNDE BALTAZARES",NA,NA,NA,20803,"01","AGUASCALIENTES","003","Calvillo","0001","Calvillo","0168","028","4959562585",NA,NA,"Fijo",21.85194324,-102.69792007,"JULIO 2010","Otra"
"2",6489521,"BARRAGAN PRODUCE","BARRAGAN PRODUCE, S. DE R.L.",115113,"Beneficio de productos agrícolas","11 a 30 personas","CALLE","T. CALDERÓN ARCEGA","AVENIDA","CARRETERA TRANSPENINSULAR","CALLE","NINGUNO","CALLE","NINGUNO",0,"SN",NA,NA,NA,NA,"COLONIA","BELLA VISTA",NA,NA,NA,22793,"02","BAJA CALIFORNIA","001","Ensenada","0139","Rodolfo Sánchez Taboada (Maneadero)","7555","026","6461525306","BARRAGANPRODUCE@HOTMAIL.COM",NA,"Fijo",31.7038909,-116.56495638,"ENERO 2016","Otra"
"3",98230,"GRUPO RS CONSULATED PACKAGE","GRUPO RS",115113,"Beneficio de productos agrícolas","0 a 5 personas","CALLE","GUADALUPE VICTORIA","AVENIDA","GALAXIA (CALAFIA)","CALLE","NINGUNO","CALLE","PRIMERA (MARIANO ABASOLO)",0,"SN",NA,NA,NA,NA,"EJIDO","CAPRICORNIO",NA,NA,NA,22910,"02","BAJA CALIFORNIA","001","Ensenada","0060","Camalú","7305","025","6161654242",NA,NA,"Fijo",30.84585922,-116.06545887,"DICIEMBRE 2014","Otra"
"4",6804884,"HOJA VERDE CACTUS S DE RL DE CV","HOJA VERDE CACTUS SRL DE CV",115113,"Beneficio de productos agrícolas","31 a 50 personas","CALLE","CAMPOS","BOULEVARD","DE LOS INSURGENTES","CALLE","COCULA","CALLE","MISIÓN SAN IGNACIO",35,"A",NA,NA,NA,NA,"COLONIA","CERRO COLORADO",NA,NA,NA,22224,"02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","1717","032","016646250790","RPFOODPROCESSING@GMAIL.COM",NA,"Fijo",32.47805447,-116.91941445,"NOVIEMBRE 2017","Otra"
"5",6501219,"PUNTA COLONET SAN TELMO","PUNTA COLONET SAN TELMO SPR DE RI",115113,"Beneficio de productos agrícolas","0 a 5 personas","AVENIDA","LÁZARO CÁRDENAS","CALLE","DIEZ DE MAYO","CALLE","RODOLFO SÁNCHEZ TABOADA","CALLE","JESUS HERNANDEZ ÁYALA",0,"SN",NA,"1",NA,NA,"EJIDO","MEXICO PUNTA COLONET",NA,NA,NA,22909,"02","BAJA CALIFORNIA","001","Ensenada","0186","Ejido México (Punta Colonet)","9960","006","6161657701",NA,NA,"Fijo",31.06893526,-116.21084835,"ENERO 2016","Otra"
"6",6288294,"RANCHO EL GOLFO","RANCHO EL GOLFO SA DE CV",115113,"Beneficio de productos agrícolas","251 y más personas","CARRETERA","ESTATAL 2 TOLUCA CHIAPAS",NA,"NINGUNO",NA,"NINGUNO",NA,"NINGUNO",1,"SN",NA,NA,NA,NA,"COLONIA","SILVA",NA,NA,NA,21270,"02","BAJA CALIFORNIA","002","Mexicali","1881","Familia Ceceña (Colonia Silva)","3579","800",NA,NA,NA,"Fijo",32.4191447,-115.05011193,"JULIO 2010","Otra"
"7",98259,"RANCHO HERMANOS PEREZ",NA,115113,"Beneficio de productos agrícolas","31 a 50 personas","CALLE","ÁLAMO MOCHO","CALLE","SINALOA","AVENIDA","19 DE MARZO","CALLE","NINGUNO",0,"SN",NA,NA,NA,NA,"EJIDO","MÉXICO (PUNTA COLONE)",NA,NA,NA,22909,"02","BAJA CALIFORNIA","001","Ensenada","0186","Ejido México (Punta Colonet)","9956","034","6161657105",NA,NA,"Fijo",31.06623104,-116.21297963,"DICIEMBRE 2014","Otra"
"8",98495,"RANCHO NUEVO PRODUCE, S.A. DE C.V.",NA,115113,"Beneficio de productos agrícolas","31 a 50 personas","CALLE","JOSÉ MARÍA MORELOS Y PAVÓN","AVENIDA","ATLETISMO","CALLE","MISIÓN DE SAN TELMO","AVENIDA","FRANCISCO JAVIER MINA",406,NA,NA,NA,NA,NA,"COLONIA","VICENTE GUERRERO",NA,NA,NA,22920,"02","BAJA CALIFORNIA","001","Ensenada","0268","Vicente Guerrero","8924","023","6161662774","PRODUCE45@HOTMAIL.COM",NA,"Fijo",30.7251969,-115.99702292,"DICIEMBRE 2014","Otra"
"9",6787229,"CAROLINA PRODUCE S DE RL DE CV","CAROLINA PRODUCE S DE RL DE CV",115113,"Beneficio de productos agrícolas","31 a 50 personas","CARRETERA","CARRETERA A EL CARRIZAL KILÓMETRO 10",NA,"NINGUNO",NA,"NINGUNO",NA,"NINGUNO",NA,"SN",NA,NA,NA,NA,"EJIDO","CARRIZAL EL LPZ",NA,NA,NA,23250,"03","BAJA CALIFORNIA SUR","003","La Paz","0458","El Carrizal","2657","009",NA,NA,NA,"Fijo",23.78457197,-110.31099249,"MARZO 2017","Otra"
"10",178415,"GRICELDA´S SMOKENHOUSE",NA,115113,"Beneficio de productos agrícolas","0 a 5 personas","ANDADOR","NINGUNO","CALLE","VICENTE GUERRERO","CALLE","PEZ MARLÍN 1","AMPLIACIÓN","NINGUNO",0,"SN",NA,NA,NA,NA,"COLONIA","CENTRO",NA,NA,NA,23450,"03","BAJA CALIFORNIA SUR","008","Los Cabos","0054","Cabo San Lucas","0356","047","6241437266",NA,NA,"Fijo",22.88192909,-109.91065727,"DICIEMBRE 2014","Otra"
"11",6475827,"SUEÑO TROPICAL","SUEÑO TROPICAL S DE RL DE CV",115113,"Beneficio de productos agrícolas","51 a 100 personas","CALLE","NINGUNO",NA,"NINGUNO",NA,"NINGUNO","CALLE","NINGUNO",0,"SN",NA,NA,NA,NA,"EJIDO","EL PESCADERO",NA,NA,NA,23310,"03","BAJA CALIFORNIA SUR","003","La Paz","0684","El Pescadero","2869","029","6121303085",NA,NA,"Fijo",23.36985529,-110.17329949,"ENERO 2016","Otra"
"12",6253068,"CENTRO DE ACOPIO DE MAÍZ","CHAVI NUEVO SPR DE RL",115113,"Beneficio de productos agrícolas","101 a 250 personas",NA,"NINGUNO",NA,"NINGUNO",NA,"NINGUNO",NA,"NINGUNO",NA,"SN",NA,NA,NA,NA,"NINGUNO","NINGUNO",NA,NA,NA,24730,"04","CAMPECHE","008","Tenabo","0139","Chaví Número Seis [Campo Menonita]","0187","800",NA,NA,NA,"Fijo",19.97361111,-90.07972222,"JULIO 2010","Otra"
"13",6762904,"TUNBEN KUXTAL SPR DE RL","TUNBEN KUXTAL SPR DE RL",115113,"Beneficio de productos agrícolas","11 a 30 personas",NA,"11",NA,"20",NA,"13",NA,"NINGUNO",NA,"SN",NA,NA,NA,NA,"COLONIA","SOLIDARIDAD",NA,NA,NA,24920,"04","CAMPECHE","001","Calkiní","0007","Dzitbalché","0186","010",NA,NA,NA,"Fijo",20.31130256,-90.05862829,"OCTUBRE 2016","Otra"
