"","id","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta","tipo_comercio"
"1",128060,"EMPACADORA DE ZANAHORIAS",NA,115113,"Beneficio de productos agrícolas","0 a 5 personas","CALLE","RUMOROSA","CALLE","RUMOROSA","CALLE","RUMOROSA","CALLE","SAN TELMO",107,NA,NA,NA,NA,NA,"FRACCIONAMIENTO","VALLE DEL RUBÍ",NA,NA,NA,22630,"02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","0600","057",NA,NA,NA,"Fijo",32.49092628,-117.02876065,"DICIEMBRE 2014","Empacadora"
"2",6482058,"EMPAQUE DEL EJIDO NUEVO URUAPAN",NA,115113,"Beneficio de productos agrícolas","31 a 50 personas","CALLE","NINGUNO",NA,"NINGUNO",NA,"NINGUNO","CARRETERA","TRANSPENINSULAR",0,"SN",NA,NA,NA,NA,"EJIDO","NUEVO URUAPAN",NA,NA,NA,22960,"02","BAJA CALIFORNIA","001","Ensenada","0598","Nuevo Uruapan","7080","020",NA,NA,NA,"Fijo",30.08183021,-115.69214849,"ENERO 2016","Empacadora"
"3",98835,"EMPAQUE SIN NOMBRE",NA,115113,"Beneficio de productos agrícolas","0 a 5 personas","CALLE","T. CALDERÓN ARCEGA","CALLE","NINGUNO","CALLE","ENRIQUE CÓRDOVA MONTOYA","CALLE","NINGUNO",0,"SN",NA,NA,NA,NA,"COLONIA","BELLA VISTA",NA,NA,NA,22793,"02","BAJA CALIFORNIA","001","Ensenada","0139","Rodolfo Sánchez Taboada (Maneadero)","7555","025",NA,NA,NA,"Fijo",31.70403426,-116.56506984,"DICIEMBRE 2014","Empacadora"
"4",159093,"CRIBADORA ESCALANTE",NA,115113,"Beneficio de productos agrícolas","6 a 10 personas","CARRETERA","TRANSPENINSULAR","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","ROSAURA ZAPATA",0,"SN",NA,NA,NA,NA,"COLONIA","SALVATIERRA",NA,NA,NA,23600,"03","BAJA CALIFORNIA SUR","001","Comondú","0001","Ciudad Constitución","2173","043","6131322263",NA,NA,"Fijo",25.05288069,-111.68260266,"JULIO 2010","V.A."
"5",6484905,"EMPACADORA GREEN PARADISE, S. DE R.L. DE C.V.","EMPACADORA GBREEN PARADISE, S. DE R.L. DE C.V.",115113,"Beneficio de productos agrícolas","31 a 50 personas","CALLE","NINGUNO",NA,"NINGUNO",NA,"NINGUNO","CALLE","NINGUNO",0,"SN",NA,NA,NA,NA,"EJIDO","EL PESCADERO",NA,NA,NA,23310,"03","BAJA CALIFORNIA SUR","003","La Paz","0684","El Pescadero","2869","085","6121303028",NA,NA,"Fijo",23.35662055,-110.16309114,"ENERO 2016","Empacadora"
"6",6803965,"EMPAQUE N.1 S DE R L DE CV","EMPAQUE N. 1 S DE RL DE CV",115113,"Beneficio de productos agrícolas","51 a 100 personas","CALLE","HERMENEGILDO GALEANA","BOULEVARD","AGUSTÍN OLACHEA AVILÉS","CALLE","BENITO JUÁREZ","CALLE","FRANCISCO JAVIER MINA",10,NA,NA,NA,NA,NA,"COLONIA","CENTRO",NA,NA,NA,23600,"03","BAJA CALIFORNIA SUR","001","Comondú","0001","Ciudad Constitución","2794","029","016131321908","EMPAQUEN.1@HOTMAIL.COM",NA,"Fijo",25.03661378,-111.67372466,"NOVIEMBRE 2017","Empacadora"
"7",325895,"DESHUESADERO COCOS CAMPOS",NA,115113,"Beneficio de productos agrícolas","11 a 30 personas","CALLE","JOSEFA ORTIZ DE DOMÍNGUEZ","PRIVADA","LINDAVISTA","PRIVADA","JOSEFA ORTIZ DE DOMÍNGUEZ","CALLE","JOSEFA ORTIZ DE DOMÍNGUEZ",0,"SN",NA,NA,NA,NA,"COLONIA","LAS LOMAS",NA,NA,NA,28300,"06","COLIMA","001","Armería","0001","Ciudad de Armería","0274","001",NA,NA,NA,"Fijo",18.94628576,-103.96343652,"JULIO 2010","V.A."
"8",325844,"DESHUESADERO DE COCO",NA,115113,"Beneficio de productos agrícolas","11 a 30 personas","CALLE","LÁZARO CÁRDENAS","CALLE","MELCHOR OCAMPO","CALLE","GUILLERMO PRIETO","CALLE","BENITO JUÁREZ",5,NA,NA,NA,NA,NA,"COLONIA","CAMPANARIO",NA,NA,NA,28300,"06","COLIMA","001","Armería","0001","Ciudad de Armería","0147","005","3323220866",NA,NA,"Fijo",18.94088733,-103.97392565,"JULIO 2010","V.A."
"9",326474,"DESHUESADERO DE COCO LA ESPERANZA, S.P.R. DE RL",NA,115113,"Beneficio de productos agrícolas","11 a 30 personas","CALLE","FLORES MAGÓN","CALLE","NINGUNO","CALLE","SOTELO COVARRUBIAS","CALLE","NINGUNO",145,NA,NA,NA,NA,NA,"COLONIA","INDEPENDENCIA",NA,NA,NA,28300,"06","COLIMA","001","Armería","0001","Ciudad de Armería","0109","026","3133220356",NA,NA,"Fijo",18.93060204,-103.97299424,"JULIO 2010","V.A."
"10",325375,"DESHUESADERO DE COCO SIN NOMBRE",NA,115113,"Beneficio de productos agrícolas","6 a 10 personas","CALLE","GENERAL GENARO VÁZQUEZ","CALLE","CLEMENTE RAMÍREZ","CALLE","VALLE QUERIDO","AVENIDA","AEROPISTA",395,NA,NA,NA,NA,NA,"COLONIA","MIGUEL HIDALGO",NA,NA,NA,28110,"06","COLIMA","009","Tecomán","0001","Tecomán","0200","017",NA,NA,NA,"Fijo",18.93121608,-103.87971833,"DICIEMBRE 2014","V.A."
"11",343666,"PELADERO DE COCO",NA,115113,"Beneficio de productos agrícolas","11 a 30 personas","CALLE","J. JOSÉ RÍOS","CALLE","GILDARDO MAGAÑA","CALLE","PEDRO NÚÑEZ","CALLE","FRANCISCO I. MADERO",0,"SN",NA,NA,NA,NA,"COLONIA","INDEPENDENCIA",NA,NA,NA,28300,"06","COLIMA","001","Armería","0001","Ciudad de Armería","0109","016",NA,NA,NA,"Fijo",18.93047224,-103.96974767,"DICIEMBRE 2014","V.A."
