clave,destino,lat,lon
10,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,21.913613,-102.292147
20,Baja California Sur: Unión de Comerciantes de La Paz,24.127084,-110.330563
33,"Baja California : Central de Abasto INDIA, Tijuana",32.495132,-116.946729
40,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",19.842476,-90.533425
50,"Coahuila: Central de Abasto de La Laguna, Torreón",25.554612,-103.425626
61,Chihuahua: Central de Abasto de Chihuahua,28.629677,-106.022937
63,Chihuahua: Mercado de Abasto de Cd. Juárez,31.626627,-106.440277
70,Chiapas: Central de Abasto de Tuxtla Gutiérrez,16.743569,-93.067324
100,DF: Central de Abasto de Iztapalapa DF,19.381729,-99.090818
101,Durango: Centro de Distribución y Abasto de Gómez Palacio,25.568641,-103.480035
102,"Durango: Central de Abasto ""Francisco Villa""",24.038963,-104.629227
110,Guanajuato: Central de Abasto de León,21.073861,-101.685127
112,"Guanajuato: Mercado de Abasto de Celaya (""Benito Juárez"")",20.513001,-100.806996
121,Guerrero: Central de Abastos de Acapulco,16.90883,-99.826576
130,Hidalgo: Central de Abasto de Pachuca,20.105341,-98.752935
140,Jalisco: Mercado de Abasto de Guadalajara,40.633005,-3.168189
141,Jalisco: Mercado Felipe Ángeles de Guadalajara,20.673033,-103.302503
150,México: Central de Abasto de Toluca,19.34604,-99.600008
151,México: Central de Abasto de Ecatepec,19.614675,-99.005587
160,Michoacán: Mercado de Abasto de Morelia,19.716839,-101.167036
170,Morelos: Central de Abasto de Cuautla,18.868403,-98.930799
172,"Morelos: Mercado ""Adolfo López Mateos"" de Cuernavaca",18.926289,-99.23273
180,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,21.522433,-104.899363
190,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",25.71231,-100.293781
200,Oaxaca: Módulo de Abasto de Oaxaca,17.05819,-96.733459
210,Puebla: Central de Abasto de Puebla,19.0879892,-98.1931318
220,Querétaro: Mercado de Abasto de Querétaro,20.569061,-100.374792
231,Quintana Roo: Módulo de Abasto Cancún,21.140327,-86.895189
240,San Luis Potosí: Centro de Abasto de San Luis Potosí,22.142278,-100.919463
250,Sinaloa: Central de Abasto de Culiacán,24.771421,-107.364551
260,"Sonora: Mercado de Abasto ""Francisco I. Madero"" de Hermosillo",29.113877,-110.99217
261,Sonora: Central de Abasto de Cd. Obregón,27.474388,-109.918462
270,Tabasco: Central de Abasto de Villahermosa,17.992002,-92.966034
280,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",22.337682,-97.883501
281,Tamaulipas: Módulo de Abasto de Reynosa,26.044382,-98.314528
302,Veracruz: Central de Abasto de Minatitlán,17.993833,-94.573343
310,Yucatán: Central de Abasto de Mérida,20.986105,-89.664108
320,Zacatecas: Mercado de Abasto de Zacatecas,22.772098,-102.595615
