Estado,Carretera,Clave,Ruta,Punto Generador,km.,TE,SC,TDPA,M,A,B,C2,C3,T3S2,T3S3,T3S2R4,Otros,A,B,C,K',D,LATITUD,LONGITUD,Año
Aguascalientes,Acceso a Pabellon de Arteaga,1113,MEX-045,T. C. Aguascalientes - Zacatecas (Alta),0,3,1,6051,1.7,90.8,0.3,5.1,0.4,0.7,0.8,0.1,0.1,92.5,0.3,7.2,0.077,0.511,22.146536,-102.291382,2016
Aguascalientes,Acceso a Pabellon de Arteaga,1113,MEX-045,T. C. Aguascalientes - Zacatecas (Baja),0,3,1,1076,5.2,86.7,3.4,4.3,0.1,0.2,0.1,0,0,91.9,3.4,4.7,0.09,0.513,22.146631,-102.291432,2016
Aguascalientes,Acceso a Pabellon de Arteaga,1113,MEX-045,T. C. Aguascalientes - Zacatecas (Alta),0,3,2,5795,1.8,89.3,0.3,6.2,0.4,0.8,1,0.1,0.1,91.1,0.3,8.6,0.089,0.511,22.14655,-102.291383,2016
Aguascalientes,Acceso a Pabellon de Arteaga,1113,MEX-045,T. C. Aguascalientes - Zacatecas (Baja),0,3,2,1022,6.1,85.3,3.7,4.5,0.1,0.2,0.1,0,0,91.4,3.7,4.9,0.113,0.513,22.146639,-102.291429,2016
Aguascalientes,Acceso a Pabellon de Arteaga,1113,MEX-045,Pabellon de Arteaga,1.8,1,1,6094,1.6,90.4,0.3,5.5,0.4,0.6,1,0,0.2,92,0.3,7.7,0.067,0.501,22.147194,-102.283861,2016
Aguascalientes,Acceso a Pabellon de Arteaga,1113,MEX-045,Pabellon de Arteaga,1.8,1,2,6114,1.9,89.3,0.3,6.2,0.4,0.6,1.1,0,0.2,91.2,0.3,8.5,0.069,0.501,22.147222,-102.283861,2016
Aguascalientes,Acceso a Pabellon de Arteaga,1113,MEX-045,T. C. Providencia - Luis Moya,4.64,,,,,,,,,,,,,,,,,,,,2016
Aguascalientes,Aguascalientes - Jalpa,95,MEX-070,Aguascalientes,0,3,1,10343,1,89.5,0.4,6,1.2,1,0.5,0.3,0.1,90.5,0.4,9.1,0.096,0.548,21.874615,-102.33753,2016
Aguascalientes,Aguascalientes - Jalpa,95,MEX-070,Aguascalientes,0,3,2,8545,1.2,89,0.4,6.1,1.3,1.1,0.5,0.3,0.1,90.2,0.4,9.4,0.08,0.548,21.874636,-102.337623,2016
Aguascalientes,Aguascalientes - Jalpa,95,MEX-070,T. Der. Jesus Maria,7.3,1,1,8247,1,84.9,1.4,8.3,1.4,1.5,0.9,0.5,0.1,85.9,1.4,12.7,0.105,0.507,21.881444,-102.363279,2016
Aguascalientes,Aguascalientes - Jalpa,95,MEX-070,T. Der. Jesus Maria,7.3,1,2,8490,1.5,82.5,1.6,9.7,1.4,1.6,1.1,0.5,0.1,84,1.6,14.4,0.087,0.507,21.88156,-102.363025,2016
Aguascalientes,Aguascalientes - Jalpa,95,MEX-070,T. Izq. Villa Hidalgo,7.8,3,1,5673,0.4,89.7,0.4,7.1,0.8,0.7,0.7,0.1,0.1,90.1,0.4,9.5,0.121,0.504,21.884512,-102.374764,2016
Aguascalientes,Aguascalientes - Jalpa,95,MEX-070,T. Izq. Villa Hidalgo,7.8,3,2,5768,0.4,88.8,0.4,7.8,0.8,0.8,0.8,0.1,0.1,89.2,0.4,10.4,0.125,0.504,21.884528,-102.374861,2016
