"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"1","01001",,,,1674.49,,,,14033.79,,,5625.79,,,,,,,31475.41,,,,,7688.89,,,4400,,
"2","01002",,,,1421.04,,,,2563.27,,11850,15635.06,,,,,16000,,,,,,,5936.24,,,8184.05,,
"3","01003",,17471.6,,571.2,,,,15957.5,,,8772.18,,,,,8600,4509.62,30500,,,,,24612.9,,,,,
"4","01004",,,,1120.78,,,,3327.19,,,15029.15,,,,,,,,,,,,9182.47,,,7762.87,,
"5","01005",,,,1728.39,,,,6958.15,,,10633.7,,,,,4750,,31749.42,,,,,7439.47,,,4498.99,,
"6","01006",,,,1148.06,,,,8040.97,,12064.97,13195.98,,,,,,,30000,,,,,6883.23,,,11374.08,,
"7","01007",,,,741.11,,,,4238.38,,11376.91,12619.05,,,,,,,30500,,,4300,,8977.86,,3661.06,4975.96,,
"8","01008",,,,353.31,,,,,,,5617.02,,,,,9500,,,,,,,,,,,,
"9","01009",,,,869.7,,,,4203.39,,,13449.39,,,,,,,30000,,,,,8944.13,,3866.32,5389.74,,
"10","01010",,,,624.54,,,,,,,10992.45,,,,,4852.5,,30800,,,,,,,,5382.24,,
"11","01011",,,,1082.94,,,,6972.35,,,12425.13,,,,,,,,,,,,12419.53,,,7663.82,,
"12","02001",,33366.53,,2156.98,,,9590.55,21982.24,242958.96,22374.93,10500,,,,,6300,14280.98,63871.42,,,,,60773.06,7714.28,9695.9,53295.65,,189064.18
"13","02002",,,,2536.29,,,,50755,,,,,,,,,20949.11,0,,,21172.63,,7560,17450,22433.56,94986.85,,
"14","02003",,,,,,,3620,10333.33,,,,,,,,3300,5100,,,,,,,,3200,31645.23,,
"15","02004",,,,605,,,,,,,,,,,,,3500,,,,,,10811.44,,,6000,,
"16","02005",,,,600,,,,6200,,,,,,,,,4000,,,,,,11200,,,,,
"17","03001",,16200,,,,,,18500,,,28703.57,12400,,,4608.89,,3137.52,,,,7774.66,,18097.86,3500,4141.85,,,
"18","03002",,22561.44,,,,,,38878.66,,19957.56,,,,,,,7109.54,,,,,,32997.93,,,7906.86,,
"19","03003",0,13560,,,,,,19149.42,,12500,22121.61,,,,6080.39,,4750,,,5882,,,13704.6,5000,,,,
"20","03008",,12628.32,,,,,,20822.97,,11041,19855.2,,,,4981.2,,6061.26,,,,,,31294.54,4584.2,,,,
"21","03009",,,,,,,,,,,,,,,0,,,,,,,,5000,,,,,
"22","04001",,4247.39,,,,,,11358.38,,,,,,,3265.74,,1379.74,,,3913.75,,,3721.44,,,,,
"23","04002",,9435.68,,,,,,12622.94,,,16050,,,,6377.81,,3547.75,,1713.78,4148.07,9458.52,14407.72,3799.05,3638.43,,,,
"24","04003",,,14289.88,,,,,13979.23,,,15219.1,,,,4664,,4765.19,,2583.08,,25321.33,,,,,,,
"25","04004",,3010,4757.64,,,,,4500,,,32000,,,,4720,,9455,,0,8220,6883.22,5780,6480,2075,,,,
"26","04005",,4319.48,,,,,,10747.47,,,,,,,3214.34,,1362.13,,,,3020,7228.96,5232.97,,,,,
"27","04006",,,,,,,,21997.18,,,,,,,3311,,1676.98,,,,6390,14459.6,7181.98,,,,,
"28","04007",,,11893.06,,,,,,,,15553.46,,,,6349.36,,4630.41,,2558.41,,14242.5,8722.25,,,,,,
"29","04008",,4646.81,,,,,,11984.75,,,,,,,3452.55,,1481.04,,,4077.78,,,3913.52,,,,,
"30","04009",,,11421.18,,,,,14987.12,,,32094.52,,,,10668.69,,8936.23,,1322,,3700,,,,,,,
"31","04010",,,,,,,,8799.13,,,32741.59,,,,,,2885,,,4820,,,,,,,,
"32","04011",,,3742.57,,,,,29467.15,,,15114.4,,,,4524.38,,4602.69,,1302.51,6511.9,10453.91,,,,,,,
"33","05001",,,,601.88,,,,,,,,,,,,,,50000,,,3490,,,,3800,,,
"34","05002",,,,490.85,,,,,,,,,,,,,,129500,,,,,,,,,,
"35","05003",,,,530.03,,,,,,,,,,,,,,126402.17,,,3035.6,,,,3800,,,
"36","05004",,,,3089.92,,,,17947.74,,,9500,,,,,11165,,84000,,,,,7100.77,,,13000,,
"37","05005",,,,628.4,,,,,,,,,,,,,,53000,,,,,,,3700,,,
"38","05006",,,,620,,,,,,,9300,,,,,,,56900,,,,,,,,,,
"39","05007",,,,550,,,,,,,18300,,,,,,,58789,,,,,,,,23250,,
"40","05008",,,,1074.94,,,,,,,,,,,,,,50000,,,3485,,,,3700,,,
"41","05009",,,,490,,,,5000,,,10000,,,,,,,80127.38,,,,,7119.74,,,,,
"42","05010",,,,1221.8,,,,,,,,,,,,,,58500,,,,,,,3700,,,
"43","05011",,,,1730,,,,7831.72,,,9600,,,,,5880,,84200.3,,,,,7197.7,,3500,13500,,
"44","05012",,,,975.99,,,,,,,,,,,,,,85420.27,,,3050,,,,3800,,,
"45","05013",,,,1058.79,,,,,,,,,,,,,,85800,,,,,,,,,,
"46","05014",,,,996.61,,,,,,,,,,,,,,132972.59,,,3229.82,5750,,,3800,,,
"47","05015",,,,1141,,,,,,,,,,,,,,,,,2980,,,,,,,
"48","05016",,,,550,,,,7894.03,,,,,,,,,,59500,,,,,7820,,3800,,,
"49","05017",,,,509.29,,5000,,7478.24,,,13500,,,,,,,81651.44,,,,,9934.72,,,,,
"50","05018",,,,1200.96,,,,,,,,,,,,,,57200,,,,,,,,,,
"51","05019",,,,1129.48,,,,,,,,,,,,,,121983.88,,,3026.67,,,,3800,,,
"52","05020",,,,1150.59,,,,,,,9200,,,,,,,85400,,,,,,,,,,
"53","05021",,,,1100.28,,,,,,,,,,,,,,50000,,,3490,,,,3810,,,
"54","05022",,,,1117.35,,,,,,,,,,,,,,131400,,,3166.04,,,,3958.76,13500,,
"55","05023",,,,900,,,,,,,18450,,,,,,,51000,,,,,,,,,,
"56","05024",,,,1740,,,,6368.57,,,9700,,,,,,,83839.01,,,,,,,3600,13484.76,,
"57","05025",,,,998.6,,,,6175.7,,,,,,,,,,85600,,,,,6500,,,,,
"58","05026",,,,1138.9,,,,,,,,,,,,,,,,,,,,,,,,
"59","05027",,,,1710,,,,7079.12,,,19700,,,,,,,84518.24,,,,,7000,,7300,13000,,
"60","05028",,,,1143.6,,,,,,,,,,,,,,85150,,,,,,,,,,
"61","05029",,,,550,,,,,,,,,,,,,,57690,,,,,,,3800,,,
"62","05030",,,,2375,,,,6192.85,,,9175,,,,,,,86500,,,,,8513.78,,7300,12950,,
"63","05031",,,,602.32,,,,,,,,,,,,,,60200,,,3490,,,,3800,12900,,
"64","05032",,,,1139.95,,,,,,,9800,,,,,,,85200,,,,,,,,,,
"65","05033",,,,480,,,,6216.14,,,10000,,,,,,,85000,,,,,8000,,,7000,,
"66","05034",,,,,,,,,,,8800,,,,,,,,,,,,,,,,,
"67","05035",,,,780.71,,,,,,,13000,,,,,,,85000,,,,,,,,,,
"68","05036",,,,825,,,,7396.59,,,21500,,,,,,,80000,,,,,10514.83,,,,,
"69","05037",,,,1095.68,,,,,,,,,,,,,,121590.61,,,3050,,,,3800,,,
"70","05038",,,,543.03,,,,,,,,,,,,,,123776.51,,,3100,,,,3800,,,
"71","06001",,,,,,,,8007.6,,,,,,0,8729.97,,,,,6029.52,6237.63,,,,,,,
"72","06002",,,7858.8,,,,,,,,,,,,3220.81,,2202.62,,,4872.04,10248.9,,18943.25,,,,,
"73","06003",,14769.33,,,,,,,,,,,,,,,2028.31,,,,3059.7,,15430.37,,,,,32474.76
"74","06004",,15765.24,7824.04,,,,,12896.89,,,,,,,2930.63,,2061.67,,,5006.76,6992.35,,13726.03,,,,,
"75","06005",,15188.56,3944.12,,,,,,39968.47,,,,,,4122.31,,2051.63,,,4455.08,3102.43,,9877.63,,,,,31592.22
"76","06006",,,,,,,,,,,,,,,8953.31,,5574.12,,,5917.58,5990,,,,,,,
"77","06007",0,15416.93,,,,,,5828.69,,,12500,,,,7095.15,,1836.83,,,6069.38,2780,,3502.63,,,,,
