"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"1","01001",,,,1189,,,,20.8,,,669,,,,,,,83,,,,,3.25,,,10,,
"2","01002",,,,533,,,,171,,1.82,3502,,,,,30,,,,,,,217,,,22,,
"3","01003",,19,,67,,,,3.5,,,32,,,,,2,2,1,,,,,84,,,,,
"4","01004",,,,544,,,,210.35,,,420,,,,,,,,,,,,0.5,,,597.5,,
"5","01005",,,,910,,,,79.82,,,123,,,,,1.5,,16,,,,,71,,,18,,
"6","01006",,,,377,,,,182,,55,50,,,,,,,101,,,,,72,,,25.5,,
"7","01007",,,,739,,,,212,,14,277,,,,,,,64,,,2,,31.3,,14,50.5,,
"8","01008",,,,32,,,,,,,54,,,,,9,,,,,,,,,,,,
"9","01009",,,,625,,,,60,,,659,,,,,,,32,,,,,17.25,,17,192.5,,
"10","01010",,,,110,,,,,,,2390,,,,,2,,2,,,,,,,,41,,
"11","01011",,,,281,,,,141,,,60,,,,,,,,,,,,88.8,,,37.5,,
"12","02001",,79.75,,3527.5,,,2492.65,815,829,1869,5,,,,,13.5,59.5,18,,,,,2310.5,2.2,5601.35,3796.08,,56
"13","02002",,,,3590,,,,28,,,,,,,,,200,1,,,982,,5,13,67744,318.5,,
"14","02003",,,,,,,114,10.5,,,,,,,,3,5,,,,,,,,126,94,,
"15","02004",,,,315,,,,,,,,,,,,,2,,,,,,6,,,70,,
"16","02005",,,,296,,,,18,,,,,,,,,3,,,,,,5,,,,,
"17","03001",,16,,,,,,174,,,1084,17,,,18,,2466.52,,,,797,,197.5,11.15,3071.5,,,
"18","03002",,6,,,,,,166,,204,,,,,,,94.25,,,,,,844,,,5.5,,
"19","03003",3,57,,,,,,1051,,5,23,,,,154,,116.5,,,25,,,451,4,,,,
"20","03008",,89.8,,,,,,23,,0.5,56,,,,1378,,107.75,,,,,,273.5,5,,,,
"21","03009",,,,,,,,,,,,,,,100,,,,,,,,1.5,,,,,
"22","04001",,3,,,,,,6,,,,,,,88,,86,,,50,,,15,,,,,
"23","04002",,25.5,,,,,,18,,,19.5,,,,1364.5,,1102,,700,239,5625,10250,34.5,643,,,,
"24","04003",,,1620,,,,,21,,,370,,,,99,,182,,11897,,4777,,,,,,,
"25","04004",,18,1000,,,,,5,,,158,,,,272,,351,,292,76,9400,600,5,1.5,,,,
"26","04005",,14,,,,,,5,,,,,,,77,,105,,,,75,550,25,,,,,
"27","04006",,,,,,,,48,,,,,,,5,,17,,,,2000,28550,187,,,,,
"28","04007",,,6026,,,,,,,,47.3,,,,193.5,,31.5,,7743,,3705,70,,,,,,
