"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"1","01001",,,,18152615.7,,,,8722001.16,,,1519300.85,,,,,,,3168000.02,,,,,2629600.38,,,253000,,
"2","01002",,,,12730734.58,,,,5439258.94,,410721,12500149.28,,,,,7776000,,,,,,,50040152.18,,,2934800,,
"3","01003",,3616621.2,,965328,,,,1276600.2,,,96143.09,,,,,120400,70350.07,27450,,,,,99604709.34,,,,,
"4","01004",,,,4084447.22,,,,12448677.79,,,5428126.16,,,,,,,,,,,,950385.64,,,74167977.71,,
"5","01005",,,,13207160.38,,,,6924058.82,,,414756.84,,,,,22087.5,,950260.14,,,,,9470446.46,,,798120.83,,
"6","01006",,,,3876283.62,,,,49918333.08,,32104888.71,489740.01,,,,,,,2754000,,,,,22597633.86,,,3930880.72,,
"7","01007",,,,9402926.4,,,,13105070.96,,7281220.99,1523109.41,,,,,,,3690500,,,51600,,55869248.58,,230646.78,2525300.96,,
"8","01008",,,,92920.53,,,,,,,158399.96,,,,,786600,,,,,,,,,,,,
"9","01009",,,,7007265.9,,,,3476203.53,,,4014032.24,,,,,,,1302000,,,,,41433682.22,,262909.76,13975604.08,,
"10","01010",,,,1819909.56,,,,,,,5394388.6,,,,,65994,,92400,,,,,,,,2120601.24,,
"11","01011",,,,4475212.75,,,,15252005.39,,,318210.11,,,,,,,,,,,,80081118.6,,,3471712.5,,
"12","02001",,3589677.75,,28815355.81,,,11115033.27,247625962.22,1469405810,2050893317,115500,,,,,10080,3988534.1,326399.96,,,,,2419473368,129522.76,17311150.79,376174575.21,,76951498.45
"13","02002",,,,57259367.13,,,,5962680,,,,,,,,,13146279.8,0,,,15527235.16,,869400,1001262,1463140189.6,56566746,,
"14","02003",,,,,,,701556,2945000,,,,,,,,79200,117300,,,,,,,,403200,6760886.38,,
"15","02004",,,,800415,,,,,,,,,,,,,24500,,,,,,2954117.87,,,462000,,
"16","02005",,,,763680,,,,1807920,,,,,,,,,120000,,,,,,2016000,,,,,
"17","03001",,3032640,,,,,,44680750,,,19810684.5,96100,,,788120,,122301132.6,,,,17492848.54,,101119186.67,899500,73152774.84,,,
"18","03002",,721966.08,,,,,,74403302.46,,197978945.6,,,,,,,5029095.37,,,,,,624739283.4,,,173950.92,,
"19","03003",0,3091680,,,,,,486969646.2,,750000,232100.06,,,,5152523.34,,4427000,,,1823420,,,186704152.9,240000,,,,
"20","03008",,3157080,,,,,,4671516.28,,55205,513333.79,,,,32385788.54,,5255112.42,,,,,,84629865.55,387364.9,,,,
"21","03009",,,,,,,,,,,,,,,0,,,,,,,,382500,,,,,
"22","04001",,74626.64,,,,,,630390.09,,,,,,,1868819.72,,1213619.3,,,10740269.3,,,1182040.99,,,,,
"23","04002",,1908222.45,,,,,,2390279.92,,,104865,,,,77878069.47,,26346547.24,,1238788.74,26413831.26,26591110.52,177368138.3,2987762.87,79335966.15,,,,
"24","04003",,,27188793.66,,,,,2396318.96,,,3200881.11,,,,3180428.24,,5704504.25,,88804224.23,,59038376.54,,,,,,,
"25","04004",,288779.4,31305271.2,,,,,108000,,,1483800,,,,7034282,,11330284.9,,0,4403395.5,111359430,7803000,1456704,30461,,,,
"26","04005",,367069.41,,,,,,608844.18,,,,,,,1803726.89,,1560360.78,,,,303510,9098875.08,2820047.53,,,,,
"27","04006",,,,,,,,5175491.07,,,,,,,142406.11,,212372.75,,,,7118157,488307183,15047931.25,,,,,
"28","04007",,,119266577.24,,,,,,,,360062.6,,,,9458705.09,,922516.58,,38144784.74,,47191453.18,732669,,,,,,
"29","04008",,452227.55,,,,,,554054.99,,,,,,,2255102.08,,2781017.59,,,12311266.38,,,569495.43,,,,,
"30","04009",,,97972664.9,,,,,4363395.56,,,5812472.44,,,,5818252.5,,14281993.83,,5242377.78,,962000,,,,,,,
"31","04010",,,,,,,,43649129.68,,,2753806.6,,,,,,1370952,,,8024336,,,,,,,,
"32","04011",,,975500.87,,,,,8061253.62,,,4559712.19,,,,1012646.73,,3143637.27,,21989755.33,77436910.04,2693753.42,,,,,,,
"33","05001",,,,4148909.31,,,,,,,,,,,,,,1269000,,,3603285.4,,,,12412624,,,
"34","05002",,,,1724846.9,,,,,,,,,,,,,,2743520,,,,,,,,,,
"35","05003",,,,3771057.44,,,,,,,,,,,,,,43474670.82,,,190149.98,,,,1396500,,,
"36","05004",,,,30881746.69,,,,75337433.42,,,162830,,,,,132975302.41,,11934720,,,,,2969257.98,,,1905800,,
"37","05005",,,,1512697.05,,,,,,,,,,,,,,32777850,,,,,,,2095125,,,
"38","05006",,,,1102608,,,,,,,75516,,,,,,,7988760,,,,,,,,,,
"39","05007",,,,19001812.5,,,,,,,249421,,,,,,,17211655.53,,,,,,,,5407020,,
"40","05008",,,,1558203.12,,,,,,,,,,,,,,1480500,,,37638,,,,1599510,,,
"41","05009",,,,38193050,,,,580000,,,20000,,,,,,,26353094.32,,,,,216382639.7,,,,,
"42","05010",,,,1923622.2,,,,,,,,,,,,,,30317625,,,,,,,692825,,,
"43","05011",,,,4451082.4,,,,1249473,,,784608,,,,,69736.8,,98095875.51,,,,,4457679.56,,215600,1580175,,
"44","05012",,,,4606161.25,,,,,,,,,,,,,,1879245.94,,,1486875,,,,6175000,,,
"45","05013",,,,732778.08,,,,,,,,,,,,,,36036,,,,,,,,,,
"46","05014",,,,3972494.1,,,,,,,,,,,,,,3793810.12,,,137913.31,659870,,,2166000,,,
"47","05015",,,,301463.4,,,,,,,,,,,,,,,,,79029.6,,,,,,,
"48","05016",,,,1168750,,,,672492.6,,,,,,,,,,12744900,,,,,199410,,1209806,,,
"49","05017",,,,65262602.9,,7500,,8003359.34,,,6750,,,,,,,50926003.13,,,,,343917000,,,,,
"50","05018",,,,2368508.81,,,,,,,,,,,,,,10327460,,,,,,,,,,
"51","05019",,,,3447972.62,,,,,,,,,,,,,,40137289.62,,,220644.24,,,,972800,,,
"52","05020",,,,1583044.72,,,,,,,8740,,,,,,,11834732,,,,,,,,,,
"53","05021",,,,5952503.31,,,,,,,,,,,,,,4053000,,,1159901.5,,,,5520880.5,,,
"54","05022",,,,1448293.35,,,,,,,,,,,,,,2073296,,,20681206.49,,,,53948001.9,131625,,
"55","05023",,,,766110,,,,,,,572733,,,,,,,3519000,,,,,,,,,,
"56","05024",,,,13391170.5,,,,21372546,,,2909321,,,,,,,260643744.6,,,,,,,82584,46031307.04,,
"57","05025",,,,2074075.81,,,,1187958,,,,,,,,,,6574080,,,,,2353000,,,,,
"58","05026",,,,500983.53,,,,,,,,,,,,,,,,,,,,,,,,
"59","05027",,,,28409307.3,,,,6357476.5,,,586080,,,,,,,52080139.49,,,,,773920,,259332.5,554450,,
"60","05028",,,,3498231.71,,,,,,,,,,,,,,2050412,,,,,,,,,,
"61","05029",,,,921250,,,,,,,,,,,,,,9520003.8,,,,,,,193800,,,
"62","05030",,,,8183921.25,,,,6097538.5,,,2869022.5,,,,,,,93699395,,,,,17214863.16,,984660,95959.5,,
"63","05031",,,,7927633.45,,,,,,,,,,,,,,11438000,,,184272,,,,7024680,712080,,
"64","05032",,,,2193727.27,,,,,,,44590,,,,,,,8196240,,,,,,,,,,
"65","05033",,,,10990492.8,,,,29738013.76,,,540000,,,,,,,285175000,,,,,63158400,,,3619000,,
"66","05034",,,,,,,,,,,237864,,,,,,,,,,,,,,,,,
"67","05035",,,,6328767.64,,,,,,,54600,,,,,,,28033000,,,,,,,,,,
"68","05036",,,,17565625,,,,6938000,,,515180,,,,,,,8040000,,,,,260641755,,,,,
"69","05037",,,,4047332.8,,,,,,,,,,,,,,27350796.1,,,473970,,,,1444608,,,
"70","05038",,,,11056063.65,,,,,,,,,,,,,,61495640.93,,,1992525,,,,7384920,,,
"71","06001",,,,,,,,666792.85,,,,,,0,24959384.88,,,,,81778328.73,460340.89,,,,,,,
"72","06002",,,18930958.88,,,,,,,,,,,,4901013.72,,1130560.79,,,171446221.3,5092245.6,,4695078.86,,,,,
"73","06003",,43507492.31,,,,,,,,,,,,,,,123726.91,,,,4372617.27,,99682711.78,,,,,5092042.37
"74","06004",,649527.89,22458699.74,,,,,7421071.46,,,,,,,5797264.87,,1980440.2,,,79698601.29,3617162.04,,9228369.07,,,,,
"75","06005",,28481283.94,29022412.61,,,,,,567552.27,,,,,,42872.02,,173773.06,,,6375219.48,4260567.12,,39225266.63,,,,,42254594.25
"76","06006",,,,,,,,,,,,,,,899620.6,,779754.21,,,95704666.29,293408,,,,,,,
