"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"1","01001",,,,29661.97,,,,621.5,,,270.06,,,,,,,100.65,,,,,342,,,57.5,,
"2","01002",,,,14852.4,,,,2122,,34.66,1679.4,,,,,486,,,,,,,8429.6,,,358.6,,
"3","01003",,207,,1690,,,,80,,,10.96,,,,,14,15.6,0.9,,,,,5937,,,,,
"4","01004",,,,10516,,,,3741.5,,,605.2,,,,,,,,,,,,103.5,,,9554.2,,
"5","01005",,,,20084,,,,995.1,,,79.01,,,,,4.65,,29.93,,,,,1273,,,177.4,,
"6","01006",,,,9875.5,,,,6208,,2661,67.36,,,,,,,91.8,,,,,3283,,,345.6,,
"7","01007",,,,21352.5,,,,3092,,640,238,,,,,,,121,,,12,,6223,,63,507.5,,
"8","01008",,,,263,,,,,,,28.2,,,,,82.8,,,,,,,,,,,,
"9","01009",,,,15305,,,,827,,,584.3,,,,,,,43.4,,,,,4632.5,,68,2593,,
"10","01010",,,,2914,,,,,,,987.46,,,,,13.6,,3,,,,,,,,394,,
"11","01011",,,,7355.58,,,,2187.5,,,51.64,,,,,,,,,,,,6448,,,453,,
"12","02001",,199.4,,40773.73,,,3589.51,22516.4,12048.5,91660.32,11,,,,,1.6,570.95,12.2,,,,,179005.68,16.79,5366.59,20678.48,,721.52
"13","02002",,,,136260.11,,,,529.4,,,,,,,,,3120.15,0,,,4451.33,,115,233.74,391224.02,2844.11,,
"14","02003",,,,,,,193.8,285,,,,,,,,24,23,,,,,,,,126,554,,
"15","02004",,,,1323,,,,,,,,,,,,,7,,,,,,273.24,,,77,,
"16","02005",,,,1272.8,,,,291.6,,,,,,,,,30,,,,,,180,,,,,
"17","03001",,187.2,,,,,,4874.5,,,1359.69,15.5,,,171,,38980.14,,,,4487.6,,11175.6,257,17661.86,,,
"18","03002",,32,,,,,,6252.2,,9920,,,,,,,1414.75,,,,,,56522.4,,,22,,
"19","03003",0,228,,,,,,48098,,60,22.05,,,,847.4,,932,,,310,,,26135.4,48,,,,
"20","03008",,250,,,,,,408.25,,5,51.23,,,,6501.6,,867,,,,,,5469,84.5,,,,
"21","03009",,,,,,,,,,,,,,,0,,,,,,,,76.5,,,,,
"22","04001",,17.57,,,,,,55.5,,,,,,,572.25,,879.6,,,2744.24,,,317.63,,,,,
"23","04002",,411.27,,,,,,189.36,,,13.18,,,,22129.76,,13265.16,,722.84,6367.74,8195.22,24609.05,786.45,21805,,,,
"24","04003",,,7530,,,,,171.42,,,210.32,,,,681.91,,1197.12,,68824.82,,16213.49,,,,,,,
"25","04004",,95.94,6580,,,,,24,,,87.7,,,,2840.1,,3794.66,,0,1174.65,32868,1350,224.8,14.68,,,,
"26","04005",,84.98,,,,,,56.65,,,,,,,561.15,,1145.53,,,,100.5,1258.67,538.9,,,,,
"27","04006",,,,,,,,467.89,,,,,,,43.01,,126.64,,,,2216.9,67540.87,4285.49,,,,,
"28","04007",,,30003.6,,,,,,,,23.15,,,,1489.71,,199.23,,29707,,13147.44,84,,,,,,
"29","04008",,97.32,,,,,,46.23,,,,,,,653.17,,1877.75,,,3019.11,,,145.52,,,,,
"30","04009",,,26015,,,,,645.86,,,375.2,,,,1064.08,,3153.15,,3965.49,,260,,,,,,,
"31","04010",,,,,,,,10134.4,,,252.66,,,,,,475.2,,,1664.8,,,,,,,,
"32","04011",,,260.65,,,,,527.11,,,301.68,,,,223.82,,683,,16882.6,11891.6,791.7,,,,,,,
"33","05001",,,,6893.25,,,,,,,,,,,,,,25.38,,,1032.46,,,,3266.48,,,
"34","05002",,,,3514,,,,,,,,,,,,,,32.85,,,,,,,,,,
"35","05003",,,,7114.8,,,,,,,,,,,,,,516.64,,,62.64,,,,367.5,,,
"36","05004",,,,43765.93,,,,4197.6,,,17.14,,,,,22641.28,,142.08,,,,,418.16,,,146.6,,
"37","05005",,,,2407.22,,,,,,,,,,,,,,618.45,,,,,,,566.25,,,
"38","05006",,,,1778.4,,,,,,,8.12,,,,,,,140.4,,,,,,,,,,
"39","05007",,,,34548.75,,,,,,,27.14,,,,,,,292.77,,,,,,,,232.56,,
"40","05008",,,,2871,,,,,,,,,,,,,,29.61,,,10.8,,,,432.3,,,
"41","05009",,,,77945,,,,116,,,2,,,,,,,328.89,,,,,30391.93,,,,,
"42","05010",,,,3170.25,,,,,,,,,,,,,,518.25,,,,,,,187.25,,,
"43","05011",,,,5145.76,,,,159.54,,,81.73,,,,,11.86,,1165.03,,,,,619.32,,61.6,117.05,,
"44","05012",,,,9197.9,,,,,,,,,,,,,,22,,,487.5,,,,1625,,,
"45","05013",,,,1352,,,,,,,,,,,,,,0.42,,,,,,,,,,
"46","05014",,,,7890,,,,,,,,,,,,,,56.87,,,42.7,114.76,,,570,,,
"47","05015",,,,526.85,,,,,,,,,,,,,,,,,26.52,,,,,,,
"48","05016",,,,2125,,,,85.19,,,,,,,,,,214.2,,,,,25.5,,318.37,,,
