Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,592.00,592.00,0.00,5017.00,8.47,3663.30,18378776.00
1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,2462.00,2462.00,0.00,65759.00,26.71,87.40,5747337.00
1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,153.00,153.00,0.00,1398.00,9.14,948.20,1325584.00
1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5920000,Cebada grano,8.00,8.00,0.00,18.00,2.25,550.00,9900.00
1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,89.00,89.00,0.00,1534.00,17.24,1082.90,1661169.00
1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,52.00,52.00,0.00,246.00,4.73,2105.20,517879.00
1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,5.00,5.00,0.00,25.00,5.00,650.00,16250.00
1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),114.00,114.00,0.00,4301.00,37.73,283.10,1217613.00
1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,104.00,104.00,0.00,1259.00,12.11,917.60,1155258.00
1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,30.00,30.00,0.00,406.00,13.53,936.50,380219.00
1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,120.00,120.00,0.00,1815.00,15.13,569.00,1032735.00
1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,45.00,45.00,0.00,544.00,12.09,756.60,411590.00
1995,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,970.00,970.00,0.00,50453.00,52.01,92.90,4687084.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,13.00,13.00,0.00,390.00,30.00,80.50,31395.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,350.00,350.00,0.00,3626.00,10.36,1155.90,4191293.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,317.00,315.00,2.00,5230.00,16.60,1170.10,6119623.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,12.00,12.00,0.00,215.00,17.92,824.20,177203.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5940000,Cebolla,59.00,59.00,0.00,1111.00,18.83,1253.30,1392416.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6070000,Chícharo,23.00,23.00,0.00,115.00,5.00,1280.00,147200.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,1400.00,1400.00,0.00,9509.00,6.79,1769.33,16824540.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6190000,Cilantro,5.00,5.00,0.00,25.00,5.00,750.00,18750.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),195.00,195.00,0.00,9229.00,47.33,460.00,4245340.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6330000,Coliflor,124.00,124.00,0.00,1411.00,11.38,1526.30,2153609.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6600000,Ejote,59.00,59.00,0.00,389.00,6.59,710.70,276462.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6610000,Elote,225.00,225.00,0.00,4089.00,18.17,490.20,2004428.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,1952.00,1952.00,0.00,3715.00,1.90,2284.90,8488404.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7330000,Lechuga,186.00,186.00,0.00,3371.00,18.12,591.80,1994958.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7470000,Maíz forrajero en verde,10235.00,10235.00,0.00,454244.00,44.38,105.90,48104440.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,12502.00,12496.00,6.00,58183.00,4.66,1130.00,65746790.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,746.00,746.00,0.00,19597.00,26.27,1384.00,27122248.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8210000,Pepino,21.00,21.00,0.00,617.00,29.38,704.20,434491.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8490000,Rábano,3.00,3.00,0.00,20.00,6.67,550.00,11000.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8710000,Sandía,2.00,2.00,0.00,20.00,10.00,800.00,16000.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,105.00,105.00,0.00,3640.00,34.67,86.00,313040.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8810000,Sorgo grano,144.00,144.00,0.00,972.00,6.75,1123.00,1091556.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),218.00,218.00,0.00,4811.00,22.07,1894.00,9112034.00
1995,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8980000,Tomate verde,308.00,308.00,0.00,5225.00,16.96,1492.20,7796745.00
1995,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,5490000,Avena forrajera en verde,110.00,110.00,0.00,1100.00,10.00,77.00,84700.00
1995,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,400.00,400.00,0.00,260.00,0.65,850.00,221000.00
1995,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,18355.00,17906.00,449.00,4515.00,0.25,2231.00,10072965.00
1995,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,7470000,Maíz forrajero en verde,32392.00,32354.00,38.00,358654.00,11.09,83.80,30055205.00
1995,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,54967.00,51520.00,3447.00,27379.00,0.53,1067.10,29216131.00
1995,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,8790000,Sorgo forrajero en verde,210.00,210.00,0.00,2274.00,10.83,86.70,197156.00
1995,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,8810000,Sorgo grano,353.00,353.00,0.00,251.00,0.71,900.00,225900.00
1995,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,9050000,Trigo grano,121.00,121.00,0.00,61.00,0.50,1500.00,91500.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,4.00,4.00,0.00,20.00,5.00,2100.00,42000.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,5170000,Alfalfa verde,7997.00,7997.00,0.00,739515.00,92.47,135.00,99834525.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6020000,Chabacano,15.00,11.00,0.00,81.00,7.36,2200.00,178200.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6220000,Ciruela,11.00,11.00,0.00,88.00,8.00,2800.00,246400.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6530000,Durazno,623.00,510.00,0.00,6757.00,13.25,3605.00,24358985.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6820000,Fresa,11.00,11.00,0.00,103.00,9.36,3250.00,334750.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7060000,Guayaba,7679.00,7594.00,0.00,106138.00,13.98,1950.00,206969100.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7380000,Lima,5.00,3.00,0.00,28.00,9.33,870.00,24360.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7390000,Limón,4.00,4.00,0.00,36.00,9.00,860.00,30960.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7580000,Manzana,10.00,10.00,0.00,100.00,10.00,1550.00,155000.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7690000,Membrillo,8.00,8.00,0.00,69.00,8.63,1100.00,75900.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7850000,Naranja,2.00,2.00,0.00,18.00,9.00,660.00,11880.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7920000,Nopalitos,38.00,24.00,0.00,618.00,25.75,1100.00,679800.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,147.00,145.00,0.00,220.00,1.52,9250.00,2035000.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,8260000,Persimonio,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,9120000,Tuna,18.00,18.00,0.00,145.00,8.06,600.00,87000.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,9130000,Uva,1255.00,1183.00,0.00,12337.00,10.43,860.00,10609820.00
1995,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,15050000,Pastos y praderas,937.00,937.00,0.00,79095.00,84.41,111.50,8819093.00
1995,1,Aguascalientes,3,Perennes,2,Temporal,200201,Tonelada,7910000,Nopal forrajero,21.00,21.00,0.00,840.00,40.00,300.00,252000.00
1995,1,Aguascalientes,3,Perennes,2,Temporal,200201,Tonelada,9120000,Tuna,2563.00,2433.00,0.00,7100.00,2.92,687.00,4877700.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5010000,Acelga,68.00,68.00,0.00,686.00,10.09,866.76,594597.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,360.00,360.00,0.00,2351.00,6.53,6654.15,15643907.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5370000,Apio,209.00,209.00,0.00,2566.00,12.28,2656.00,6815296.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5380000,Semilla de apio,8.00,8.00,0.00,4.00,0.50,6700.00,26800.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,985.00,985.00,0.00,25419.00,25.81,289.31,7353971.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5640000,Betabel,85.00,85.00,0.00,2199.00,25.87,848.64,1866159.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5660000,Boi choi,12.00,12.00,0.00,72.00,6.00,950.00,68400.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,98.00,98.00,0.00,1346.00,13.73,2495.68,3359185.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5680000,Semilla de brócoli,20.00,20.00,0.00,4.00,0.20,25000.00,100000.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,573.00,569.00,4.00,6970.00,12.25,687.20,4789784.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5870000,Cártamo,2537.00,2230.00,307.00,5593.00,2.51,1350.00,7550550.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,567.00,567.00,0.00,11317.00,19.96,73.75,834615.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5920000,Cebada grano,1192.00,1178.00,14.00,3742.00,3.18,691.00,2585722.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,3140.00,3138.00,2.00,41160.00,13.12,2373.07,97675755.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,84.00,84.00,0.00,642.00,7.64,2463.79,1581753.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6120000,Chile verde,22.00,22.00,0.00,127.00,5.77,1300.00,165100.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,575.00,575.00,0.00,3839.00,6.68,3110.23,11940173.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),146.00,144.00,2.00,4032.00,28.00,700.67,2825101.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6320000,Col de bruselas,210.00,210.00,0.00,2940.00,14.00,1280.00,3763200.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,44.00,44.00,0.00,484.00,11.00,2500.00,1210000.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6340000,Semilla de coliflor,20.00,20.00,0.00,8.00,0.40,7600.00,60800.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6600000,Ejote,17.00,17.00,0.00,99.00,5.82,3191.73,315981.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,110.00,106.00,4.00,870.00,8.21,1002.28,871984.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6750000,Flores,39.00,33.00,6.00,333.00,10.09,7378.02,2456879.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6790000,Semilla de flores,44.00,44.00,0.00,18.00,0.41,8000.00,144000.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6820000,Fresa,660.00,660.00,0.00,29700.00,45.00,1450.00,43065000.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6880000,Gai lan (kay laan),11.00,0.00,11.00,0.00,0.00,0.00,0.00
1995,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7100000,Haba grano,65.00,56.00,9.00,202.00,3.61,901.71,182146.00
