Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion,
2001,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5010000,Acelga,1.00,1.00,0.00,14.00,14.00,1392.90,19500.60,
2001,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,307.00,307.00,0.00,3317.20,10.81,5145.00,17066994.00,
2001,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,3528.00,3526.00,2.00,89654.00,25.43,300.00,26896200.00,
2001,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,143.00,143.00,0.00,1674.50,11.71,3024.70,5064860.15,
2001,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5920000,Cebada grano,144.00,144.00,0.00,505.60,3.51,1804.20,912203.52,
2001,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,20.00,20.00,0.00,419.00,20.95,1822.70,763711.30,
2001,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,3.00,3.00,0.00,18.00,6.00,1200.00,21600.00,
2001,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),43.00,43.00,0.00,1618.00,37.63,1167.20,1888533.50,
2001,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,89.00,89.00,0.00,1346.50,15.13,2990.00,4026035.00,
2001,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6540000,Ebo (janamargo o veza),4.00,4.00,0.00,144.00,36.00,350.00,50400.00,
2001,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,52.00,52.00,0.00,988.00,19.00,3000.00,2964000.00,
2001,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,72.00,72.00,0.00,2126.00,29.53,1635.00,3476010.00,
2001,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,8490000,Rábano,2.00,2.00,0.00,14.00,7.00,1500.00,21000.00,
2001,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9090000,Triticale forrajero en verde,25.00,25.00,0.00,910.00,36.40,273.70,249067.00,
2001,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,96.00,96.00,0.00,1665.00,17.34,1740.50,2897932.50,
2001,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,1848.00,1848.00,0.00,110961.00,60.04,288.00,31956768.00,
2001,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5010000,Acelga,2.00,2.00,0.00,16.00,8.00,2050.00,32800.00,
2001,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,49.00,49.00,0.00,1156.00,23.59,325.70,376509.20,
