Via,Longitud en kilometros,Vigente desde,Motos,Autos,Autobuses 2 ejes,Autobuses 3 ejes,Autobuses 4 ejes,Camiones 2 ejes,Camiones 3 ejes,Camiones 4 ejes,Camiones 5 ejes,Camiones 6 ejes,Camiones 7 ejes,Camiones 8 ejes,Camiones 9 ejes
Acatzingo - Cd. Mendoza,92.95,29/08/2012,55,110,225,225,225,225,225,410,410,600,600,600,600
Acatzingo - Cd. Mendoza,92.95,29/08/2012,55,110,225,225,225,225,225,410,410,600,600,600,600
Acatzingo - Esperanza,47.375,29/08/2012,27,55,115,115,115,115,115,205,205,300,300,300,300
Esperanza - Cd. Mendoza,45.575,29/08/2012,27,55,115,115,115,115,115,205,205,300,300,300,300
Amozoc - Perote y Libramiento de Perote,135,01/01/2014,106,213,317,324,332,317,324,332,415,415,585,585,585
Amozoc - Perote,117,01/01/2014,89,179,276,282,288,276,282,288,357,357,509,509,509
Amozoc - Ent. Ixtenco,25.7,01/01/2014,20,40,58,60,61,58,60,61,78,78,108,108,108
Ent. Ixtenco - Ent. Oriental,35.8,01/01/2014,27,54,88,90,93,88,90,93,110,110,161,161,161
Ent. Ixtenco - Ent. Cuapiaxtla,14,01/01/2014,11,22,28,29,31,28,29,31,34,34,54,54,54
Ent. Cuapiaxtla - Ent. Oriental,21.8,01/01/2014,16,32,60,61,62,60,61,62,76,76,107,107,107
Ent. Oriental - Ent. Perote II,55.5,01/01/2014,42,85,130,132,134,130,132,134,169,169,240,240,240
Ent. Oriental - Ent. Cantona,18.8,01/01/2014,14,28,45,45,45,45,45,45,63,63,86,86,86
Ent. Cantona - Ent. Perote II,36.7,01/01/2014,28,57,85,87,89,85,87,89,106,106,154,154,154
Libramiento de Perote,18,01/01/2014,17,34,41,42,44,41,42,44,58,58,76,76,76
Armería - Manzanillo,47,01/02/2014,61,122,239,295,361,239,295,361,406,492,556,614,641
Arriaga - Ocozocuautla,93,14/01/2014,62,126,234,234,234,201,201,201,326,326,458,458,458
Arriaga - Tierra y Libertad,20,14/01/2014,14,29,53,53,53,43,43,43,72,72,100,100,100
Tierra y Libertad - Jiquipilas,41.598,14/01/2014,26,53,99,99,99,89,89,89,144,144,203,203,203
Jiquipilas - Montes Azules,9.101,14/01/2014,6,12,27,27,27,21,21,21,33,33,46,46,46
Montes Azules - Ocozocoautla,22.301,14/01/2014,16,32,55,55,55,48,48,48,77,77,109,109,109
Atlacomulco - Maravatío,64.35,31/01/2014,40,82,170,170,170,170,170,170,264,264,334,334,334
Atlacomulco - Venta de Bravo,32.175,31/01/2014,20,41,85,85,85,85,85,85,132,132,167,167,167
Venta de Bravo - Maravatío,32.175,31/01/2014,20,41,85,85,85,85,85,85,132,132,167,167,167
Ávila Camacho - Tihuatlán,47.9,25/01/2014,64,128,229,229,229,343,343,343,629,629,686,686,686
Cadereyta - Reynosa,132.015,29/08/2012,105,210,260,260,260,260,260,260,385,385,430,430,430
Cadereyta - La Sierrita,132.015,29/08/2012,105,210,260,260,260,260,260,260,385,385,430,430,430
Cadereyta - General Bravo,85.015,29/08/2012,57,115,145,145,145,145,145,145,205,205,240,240,240
Cadereyta - Los Ramones,35.275,29/08/2012,27,55,70,70,70,70,70,70,85,85,110,110,110
Los Ramones - General Bravo,49.74,29/08/2012,30,60,75,75,75,75,75,75,120,120,130,130,130
Los Ramones - Los Herreras,28.54,29/08/2012,17,35,45,45,45,45,45,45,70,70,80,80,80
Cadereyta - Los Herreras,63.815,29/08/2012,42,85,110,110,110,110,110,110,155,155,185,185,185
Los Herreras - General Bravo,21.2,29/08/2012,15,30,35,35,35,35,35,35,50,50,55,55,55
Los Ramones - La Sierrita,96.74,29/08/2012,77,155,195,195,195,195,195,195,300,300,320,320,320
Los Herreras - La Sierrita,68.2,29/08/2012,60,120,150,150,150,150,150,150,230,230,245,245,245
General Bravo - La Sierrita,47,29/08/2012,47,95,120,120,120,120,120,120,180,180,190,190,190
Camargo - Delicias,65,01/01/2014,57,114,164,246,306,164,242,306,402,486,494,566,690
Camargo - Conchos,35,01/01/2014,28,57,82,123,153,82,121,153,201,243,247,283,345
Conchos - Delicias,30,01/01/2014,28,57,82,123,153,82,121,153,201,243,247,283,345
Cardel - Veracruz,29.88,27/01/2014,25,50,76,76,76,76,76,76,186,186,272,272,272
Cardel - Veracruz,29.88,27/01/2014,25,50,76,76,76,76,76,76,186,186,272,272,272
San Julián - Veracruz,7.91,27/01/2014,8,16,37,37,37,37,37,37,72,72,87,87,87
Cd. Cuauhtemoc - Osiris,42.31,29/08/2012,17,35,50,50,50,50,50,70,70,90,90,90,90
Cd. Mendoza - Córdoba,30.675,29/08/2012,12,24,60,60,60,60,60,100,100,135,135,135,135
Cd. Mendoza - Córdoba,30.675,29/08/2012,12,24,60,60,60,60,60,100,100,135,135,135,135
Cd. Mendoza - Fortín,23.175,29/08/2012,5,10,32,32,32,31,31,61,61,90,90,90,90
Chamapa - Lechería,27.346,29/08/2012,20,40,70,70,70,70,70,70,100,100,130,130,130
Chamapa - Ent. San Miguel,23.22,29/08/2012,17,35,60,60,60,60,60,60,85,85,110,110,110
